,Radius,Pad,U,G,Pin,PinColID,PinRowID,PadName,FEE,FEE_Connector,FEE_Chan,phi,x,y,PadX,PadY,PadR,PadPhi,PadN
129,0,0,2,1,B4,1,4,ZZ.00.000,7.0,J1,25,0.0040906154343617095,69.99941434110454,0.28634228183643523,104.21774728826203,403.3454806310132,416.5920253621078,1.3179431692809687,69
152,0,1,2,1,C3,2,3,ZZ.00.001,7.0,J1,29,0.008181230868723419,69.99765737421808,0.572679772275599,102.62006454806338,403.7549231247272,416.5920253621078,1.3219022322324916,132
181,0,2,2,1,D8,3,8,ZZ.00.002,7.0,J1,3,0.01227184630308513,69.99472912874012,0.8590076800003947,101.02077332465838,404.15803709958686,416.5920253621078,1.3258612951840145,132
204,0,3,2,1,E7,4,7,ZZ.00.003,7.0,J1,7,0.016362461737446838,69.99062965366933,1.1453212138540747,99.41989868559193,404.5548162371197,416.5920253621078,1.3298203581355375,132
227,0,4,2,1,F6,5,6,ZZ.00.004,7.0,J1,11,0.020453077171808547,69.98535901760266,1.4316155829204102,97.81746572322763,404.9452543181464,416.59202536210785,1.3337794210870604,132
130,0,5,2,1,B5,1,5,ZZ.00.005,7.0,J1,18,0.02454369260617026,69.9789173087343,1.7178859966038602,96.21349955435447,405.3293452228783,416.59202536210773,1.3377384840385833,132
153,0,6,2,1,C4,2,4,ZZ.00.006,7.0,J1,22,0.028634308040531967,69.97130463485404,2.0041276647097304,94.60802531979321,405.7070829310137,416.5920253621078,1.3416975469901062,132
176,0,7,2,1,D3,3,3,ZZ.00.007,7.0,J1,26,0.032724923474893676,69.9625211233456,2.2903357975243295,93.00106818400222,406.0784615218315,416.59202536210773,1.3456566099416292,132
205,0,8,2,1,E8,4,8,ZZ.00.008,7.0,J1,0,0.03681553890925539,69.95256692118447,2.576505605895118,91.39265333468312,406.44347517428486,416.59202536210785,1.349615672893152,132
228,0,9,2,1,F7,5,7,ZZ.00.009,7.0,J1,4,0.04090615434361709,69.94144219493542,2.8626323013108412,89.78280598238598,406.8021181670915,416.5920253621078,1.353574735844675,132
131,0,10,2,1,B6,1,6,ZZ.00.010,7.0,J1,15,0.044996769777978805,69.92914713074973,3.148711095981659,88.17155136011414,407.1543848788243,416.5920253621078,1.357533798796198,132
154,0,11,2,1,C5,2,5,ZZ.00.011,7.0,J1,19,0.04908738521234052,69.91568193436207,3.434737202919261,86.55891472292869,407.50026978799883,416.5920253621078,1.3614928617477209,132
177,0,12,2,1,D4,3,4,ZZ.00.012,7.0,J1,23,0.05317800064670222,69.90104683108709,3.720705836016964,84.94492134755266,407.8397674731599,416.5920253621078,1.3654519246992438,132
200,0,13,2,1,E3,4,3,ZZ.00.013,7.0,J1,27,0.057268616081063935,69.88524206581558,4.006612210129803,83.32959653197483,408.17287261296696,416.59202536210785,1.3694109876507667,132
229,0,14,2,1,F8,5,8,ZZ.00.014,7.0,J1,1,0.06135923151542564,69.86826790301045,4.2924515411546,81.71296559505315,408.499579986277,416.5920253621078,1.3733700506022897,132
249,0,15,2,1,F2,5,2,ZZ.00.015,7.0,J1,31,0.06544984694978735,69.85012462670224,4.578219046110014,80.09505387611793,408.81988447222676,416.59202536210785,1.3773291135538126,132
385,0,16,4,1,B4,1,4,ZZ.00.016,6.0,J1,25,0.06954046238414906,69.83081254048444,4.863909943216579,78.47588673457469,409.13378105031273,416.59202536210773,1.3812881765053355,132
408,0,17,4,1,C3,2,3,ZZ.00.017,6.0,J1,29,0.07363107781851078,69.81033196750832,5.14951945197672,76.8554895495066,409.44126480047015,416.59202536210773,1.3852472394568585,132
437,0,18,4,1,D8,3,8,ZZ.00.018,6.0,J1,3,0.07772169325287248,69.78868325047758,5.435042793254733,75.23388771927678,409.7423309031498,416.59202536210785,1.3892063024083814,132
460,0,19,4,1,E7,4,7,ZZ.00.019,6.0,J1,7,0.08181230868723419,69.76586675164262,5.720475189356774,73.61110666113008,410.0369746393937,416.5920253621078,1.3931653653599043,132
483,0,20,4,1,F6,5,6,ZZ.00.020,6.0,J1,11,0.0859029241215959,69.74188285279446,6.005811864110792,71.98717181079483,410.3251913909091,416.59202536210785,1.3971244283114272,132
386,0,21,4,1,B5,1,5,ZZ.00.021,6.0,J1,18,0.08999353955595761,69.71673195525834,6.291048042946446,70.36210862208405,410.6069766401408,416.59202536210785,1.4010834912629502,132
409,0,22,4,1,C4,2,4,ZZ.00.022,6.0,J1,22,0.09408415499031932,69.69041447988702,6.576178952975014,68.7359425664965,410.882325970342,416.59202536210785,1.405042554214473,132
432,0,23,4,1,D3,3,3,ZZ.00.023,6.0,J1,26,0.09817477042468103,69.66293086705379,6.861199823069242,67.10869913281745,411.1512350656435,416.5920253621078,1.409001617165996,132
461,0,24,4,1,E8,4,8,ZZ.00.024,6.0,J1,0,0.10226538585904274,69.63428157664494,7.146105883943187,65.48040382671923,411.41369971112147,416.5920253621078,1.412960680117519,132
387,0,25,4,1,B6,1,6,ZZ.00.025,6.0,J1,15,0.10635600129340445,69.60446708805227,7.430892368232024,63.85108217036127,411.66971579286326,416.59202536210773,1.416919743069042,132
410,0,26,4,1,C5,2,5,ZZ.00.026,6.0,J1,19,0.11044661672776615,69.57348790016492,7.715554510571813,62.22075970199028,411.91927929803217,416.5920253621078,1.4208788060205648,132
433,0,27,4,1,D4,3,4,ZZ.00.027,6.0,J1,23,0.11453723216212787,69.5413445313611,8.000087547679247,60.58946197553983,412.16238631493013,416.59202536210785,1.4248378689720878,132
456,0,28,4,1,E3,4,3,ZZ.00.028,6.0,J1,27,0.11862784759648957,69.50803751949938,8.284486718431346,58.957214560229794,412.39903303305897,416.59202536210773,1.4287969319236107,132
485,0,29,4,1,F8,5,8,ZZ.00.029,6.0,J1,1,0.12271846303085128,69.47356742190969,8.568747263945133,57.324043040165684,412.6292157431806,416.5920253621078,1.4327559948751336,132
505,0,30,4,1,F2,5,2,ZZ.00.030,6.0,J1,31,0.126809078465213,69.43793481538403,8.852864427657263,55.68997301393755,412.8529308373745,416.59202536210773,1.4367150578266565,132
484,0,31,4,1,F7,5,7,ZZ.00.031,6.0,J1,4,0.1308996938995747,69.40114029616673,9.136833455403611,54.05503009421876,413.07017480909485,416.59202536210785,1.4406741207781795,132
